W157	1499B
477	1505B
Misria	1514B
TJK04-379	1517B
Hawasia	1518B
Karakilcik	1519B
Zhengzi8709-4-4	1520B
12611	1525B
Gandom	1530B
40b	1531B
1976-1-1	1536B
TJK03-194	1537B
L8	1540B
IWA8604270	1542B
Cankiri	1543B
86PK1272-001.00	1544B
12985	1545B
Hongyouzi	1556B
FAO_33.213	1558B
Homara_Mania	1561B
TJK2006:335	1563B
Dame	1564B
Yosifia	1565B
6333	1569B
K2003-55	1575B
TJK03-195	1577B
86PK1306-002.00	1578B
Mania	1580A
Gandom-i-Safade	1583B
Baixiaomangmai	1588B
84TK101-036.1	1589B
Floransa	1593B
8916-2	1594B
IWA8614070	1602B
B-872	1603B
K17	1604B
Type_No._23-2	1606B
8241	1607B
86PK1304-001.00	1611B
Type_No.25	1614B
Damaskus_6	1616B
79TK104-552B	1618B
TU86-14-04-1	1625B
Hong_Huo_Mai	1627B
Kasisik	1629B
84	1633B
81	1635B
Yumusak_B	1638B
Tirmai	1640B
10516	1642B
PNE_226-2	1645B
79TK098-516	1647B
9010	1652B
Type_No.14	1661B
79TK100-531A-2	1663B
4075	1667B
Guang_Siu_Zi	1668B
IWA8608636	1669B
Kendiharia	1672B
IWA8607807	1678B
451	1681B
IWA8604735	1684B
IWA8604731	1685B
Hulutou	1686B
L3B	1690B
455	1691B
1893	1693B
Sadabozu_1	1694B
168	1699B
79TK098-519A	1700B
PNE_226-1	1704B
Gandom-i-Safadek	1706B
3310	1707B
Normal_Yumusak	1709B
IWA8612682	1712B
14/17	1715A
W128	1716B
Zhengzhou6903	1717B
32	1718A
W168	1719B
Kunduru_Menceki	1720B
1881	1725B
TJK03-295	1726A
TJK2006:291	1727B
IWA8604628	1728B
IWA8604010	1730B
432	1731A
Kamchtka	1732A
8220	1733A
79TK109-595	1735B
4244	1737A
370	1738B
Nyu_Bai	1739B
14224	1743B
Kilcikiz	1745B
K2003-108	1746B
Type_No._23-1	1750B
Sanshukomugi	1751B
1703	1752B
3880	1756B
C-1	1759B
TJK2006:298	1761B
IWA8608766	1763B
Red_Kamsereti	1764B
1708	1767B
TJK03-296	1768B
IWA8604006	1769B
K18	1770B
TJK2006:354	1771A
79TK104-548B	1772B
W125	1773B
8260	1774B
3889	1777B
B-941	1782B
Karmir	1784A
K2003-8	1785B
93	1789B
W120	1790B
448	1793B
86PK1305-001.00	1794B
Type_No.13	1795B
D-2	1796B
TU86-13-07	1798B
8916-1	1800B
84TK056-140.1	1801B
Yu_Hua_Zi	1805B
Xiaobaimang	1807B
Floransa_C	1809B
14053	1811B
Kamrakhat	1813B
86PK1287-001.14	1818B
B-938	1825A
Aleppo_1	1826B
TJK04-420	1827B
S-10	1834B
8269	1838B
86PK1307-001.00	1839B
Floransa_B	1840B
Baigeda	1841B
Wuhuatou	1844B
TU85-082-01	1845B
Gandum	1847B
Shirokawa_Shiro	1850B
IWA8604850	1852B
Jishi42	1853A
84TK105-056.0	1855B
W167	1856B
185	1859B
600	1860B
IWA8604165	1863B
Dali1	1865B
FAO_33.214	1867A
6319	1868A
Ermangmai	1871B
86PK1308-001.11	1872A
Sari	1876A
4	1877B
4473	1878B
K397	1879A
Zhao08-29	1881B
Type_No.19H	1885A
Tir	1886A
PF027	SAMEA10944170
PF029	SAMEA10944172
